CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683585854656;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003673, -0.006641, 0.999971);1.183751;0.4001702;-0.2;-0.4;(0.024687, -0.007607, 0.999666);(-0.032169, -0.005620, 0.999467);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854661;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003669, -0.008211, 0.999960);1.18739;0.4192954;-0.2;-0.5;(0.024630, -0.008873, 0.999657);(-0.032088, -0.007505, 0.999457);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854666;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003666, -0.009834, 0.999945);1.190498;0.4610518;-0.2;-0.6;(0.024561, -0.010546, 0.999643);(-0.032004, -0.009079, 0.999447);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854671;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003676, -0.010997, 0.999933);1.193401;0.4654906;-0.2;-0.6;(0.024482, -0.011750, 0.999631);(-0.031941, -0.010201, 0.999438);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854676;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003676, -0.012251, 0.999918);1.19478;0.4971561;-0.2;-0.7;(0.024428, -0.013321, 0.999613);(-0.031888, -0.011142, 0.999429);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854681;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003706, -0.013231, 0.999906);1.196689;0.5558871;-0.2;-0.8;(0.024328, -0.014576, 0.999598);(-0.031851, -0.011854, 0.999422);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854686;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003730, -0.013689, 0.999899);1.199302;0.6417977;-0.2;-0.8;(0.024247, -0.014948, 0.999594);(-0.031825, -0.012399, 0.999417);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854691;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003789, -0.014172, 0.999892);1.203081;0.6690091;-0.2;-0.8;(0.024101, -0.015358, 0.999592);(-0.031808, -0.012957, 0.999410);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854696;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.003890, -0.014615, 0.999886);1.206092;0.7198524;-0.2;-0.8;(0.023915, -0.015911, 0.999587);(-0.031834, -0.013292, 0.999405);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854701;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.004001, -0.015309, 0.999875);1.207474;0.733956;-0.2;-0.9;(0.023720, -0.017052, 0.999573);(-0.031869, -0.013561, 0.999400);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854706;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.004115, -0.015880, 0.999865);1.208548;0.7758831;-0.2;-0.9;(0.023511, -0.018089, 0.999560);(-0.031900, -0.013702, 0.999397);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
