CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity
1684788096009;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020548, 0.104313, 0.994332);0.05643793;1;-1.183883;5.988874
1684788096014;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020583, 0.104159, 0.994348);0.03773936;1;-1.185862;5.979969
1684788096019;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020567, 0.104054, 0.994359);0.02111292;1;-1.184933;5.973921
1684788096024;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020498, 0.103913, 0.994375);0.01;1;-1.180898;5.965787
1684788096029;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020344, 0.103708, 0.994400);2;0.9969701;-1.172026;5.953996
1684788096034;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.020158, 0.103459, 0.994429);2;0.9939069;-1.161257;5.939609
1684788096044;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.019956, 0.103166, 0.994464);2;0.9872648;-1.149596;5.922679
1684788096049;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.019726, 0.102767, 0.994510);2;0.9748751;-1.136314;5.899687
1684788096054;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.019518, 0.102463, 0.994545);2;0.9620057;-1.124305;5.882123
1684788096059;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.019296, 0.102061, 0.994591);2;0.9479396;-1.111469;5.858979
1684788096064;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.019106, 0.101618, 0.994640);2;0.9491218;-1.100446;5.833397
1684788096069;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.019027, 0.101310, 0.994673);2;0.9112841;-1.095850;5.815654
1684788096074;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018935, 0.100825, 0.994724);2;0.8764334;-1.090496;5.787736
1684788096084;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018824, 0.100330, 0.994776);2;0.8733664;-1.084095;5.759190
1684788096089;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018688, 0.099833, 0.994829);2;0.8667132;-1.076198;5.730554
1684788096094;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018550, 0.099345, 0.994880);2;0.8667449;-1.068193;5.702423
1684788096099;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018414, 0.098909, 0.994926);2;0.8696246;-1.060289;5.677316
1684788096104;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018275, 0.098509, 0.994968);2;0.8834299;-1.052253;5.654250
1684788096109;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018150, 0.098178, 0.995003);2;0.8996298;-1.044997;5.635210
1684788096114;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.018067, 0.097884, 0.995034);2;0.9050992;-1.040190;5.618281
1684788096119;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.017999, 0.097663, 0.995057);2;0.9463723;-1.036303;5.605519
1684788096129;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.017935, 0.097477, 0.995076);2;0.9609455;-1.032586;5.594793
1684788096134;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.017880, 0.097315, 0.995093);2;0.9831999;-1.029369;5.585494
1684788096139;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.017875, 0.097194, 0.995105);2;0.9925972;-1.029077;5.578531
1684788096144;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.017859, 0.097102, 0.995114);2;1;-1.028155;5.573216
1684788096149;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.017843, 0.097108, 0.995114);2;0.9955571;-1.027260;5.573531
1684788096154;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.017832, 0.097106, 0.995114);2;1;-1.026577;5.573432
1684788096159;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.017820, 0.097119, 0.995113);2;1;-1.025899;5.574174
